e, e_dot, e_int, stamp, 
0.655707171275292, 1.9986234889302068e-11, 0.1311414342548467, 1732835502437790147, 
0.6557071712899452, 3.94425233215164e-11, 0.1311414342562233, 1732835502555907427, 
0.6557071712875622, 4.090061622719077e-11, 0.1311414342568533, 1732835502647710517, 
0.6557071713020356, 4.030146586823472e-11, 0.1311414342586362, 1732835502745693279, 
0.655707171317692, 1.0043262517929936e-10, 0.13114143426048597, 1732835502838184518, 
0.6488682402332394, -0.022796436895987277, 0.13068550552353114, 1732835502956978574, 
0.6401920210145634, -0.05171716767709519, 0.12965116217103298, 1732835503047724165, 
0.6357578667908188, -0.043701244808068695, 0.12832120853590812, 1732835503146699403, 
0.6282219338643552, -0.03990029050069399, 0.12694478811131582, 1732835503236675391, 
0.600987446384114, -0.1159014013556825, 0.12433114980261921, 1732835503356823573, 
0.5743843222785714, -0.17945870528594607, 0.12023958016846936, 1732835503447700796, 
0.5504843753602493, -0.16834357007954917, 0.11505707626819565, 1732835503546732453, 
0.5305910609416509, -0.14597753778973507, 0.11036398390536477, 1732835503636937614, 
0.5016896553969996, -0.16264906654416564, 0.10551767277992664, 1732835503757134267, 
0.4797803563788181, -0.16936901520944256, 0.1008040715144979, 1732835503848052861, 
0.4589618915443874, -0.14242587950870744, 0.09602879355468034, 1732835503946721456, 
0.444171862567052, -0.11869497937255373, 0.09219427403268382, 1732835504057429763, 
0.31274550903781806, -0.4873879416885644, 0.08105861754328383, 1732835504156860339, 
0.29034495211770295, -0.5127563681644968, 0.06981748824817154, 1732835504247792471, 
0.26646740283602, -0.15426035400599356, 0.05797052426610273, 1732835504346741059, 
0.24628383848251378, -0.1468703787839639, 0.05353974622908245, 1732835504436840483, 
0.22198614054666377, -0.1482708742978541, 0.0489824921243465, 1732835504556884846, 
0.20273992510654215, -0.14514637791990545, 0.04473399360904798, 1732835504647715265, 
0.18276688964436327, -0.13073083634100166, 0.040499530353171276, 1732835504746766821, 
0.20138595150158234, -0.004513245349866042, 0.039126184416832514, 1732835504857033754, 
0.21807329852817303, 0.1176880296126992, 0.04014840931160791, 1732835504956972258, 
0.2149454140938265, 0.045198208640813885, 0.04229364427490546, 1732835505047773532, 
0.21195880554548474, -0.020381643275627637, 0.04299850121116562, 1732835505146746997, 
0.14707063936510956, -0.22624924909572317, 0.03826499060029472, 1732835505257228752, 
0.1439332744851325, -0.22675177020117418, 0.033530847959715115, 1732835505356829740, 
0.1420676929901199, -0.016676487916632194, 0.02887144045602413, 1732835505446816693, 
0.12849294831146096, -0.05146775391223842, 0.027632927719114225, 1732835505546751980, 
0.10256943581912559, -0.1316608572366477, 0.02487533847471376, 1732835505657240382, 
0.08838760440842253, -0.13368447967679478, 0.021296665902600605, 1732835505756893043, 
0.08168975539745404, -0.06959893473890515, 0.01817645304166681, 1732835505847732009, 
0.0913826847298006, 0.009983601071260248, 0.017430669635711812, 1732835505946743046, 
0.03536732211848714, -0.15440811092988968, 0.01389598414971612, 1732835506037027001, 
0.023621055863754736, -0.2258720962201529, 0.010024737514136165, 1732835506156903800, 
0.019205319152422295, -0.05387334322021616, 0.005212913142310945, 1732835506247737928, 
0.01896914507711156, -0.015506369288810587, 0.004119701339552573, 1732835506346718359, 
0.0197094115659181, 0.0016803080449860157, 0.0038589250530301302, 1732835506437502835, 
0.014665045746776961, -0.014346997767781996, 0.0035562401593204414, 1732835506556830741, 
0.011008363653867814, -0.02900349304016762, 0.0030255213977708586, 1732835506647884046, 
-0.023481218033569062, -0.12715421260115342, 0.00014614609113838088, 1732835506746741948, 
-0.009831198680453013, -0.06946520778106942, -0.0014869368706769508, 1732835506837379458, 
-0.007026108772011708, 0.05485036420519118, -0.002689235032402252, 1732835506956897443, 
-0.0071734716151734546, 0.008859090217598528, -0.001602051937842545, 1732835507048746687, 
-0.00871637673223069, -0.005634226534063276, -0.0015277304746277236, 1732835507146745258, 
-0.011323004097855582, -0.013831774942273759, -0.0018141901630173152, 1732835507236664406, 
-0.009562701635584814, -0.0028210830111804106, -0.0019734721643780723, 1732835507357838255, 
-0.0010994674038348196, 0.034078455646735874, -0.001465678209151681, 1732835507447838126, 
-0.02886311154821164, -0.06433469970875609, -0.0026350187058420847, 1732835507546798933, 
-0.033097758739267014, -0.10666097111810731, -0.004204022512754231, 1732835507636802087, 
-0.03207660093716269, -0.010711631296503507, -0.006269164748309423, 1732835507757210473, 
-0.03324656284076588, -0.0004960136716628908, -0.006561394834479706, 1732835507848994322, 
-0.03290038049578703, -0.0027459318620811266, -0.006548236284914373, 1732835507947318802, 
-0.03458282808254276, -0.004454217472589598, -0.006715318094606378, 1732835508037003985, 
-0.0330273796758479, -0.0004233306002029054, -0.0067007058836118455, 1732835508157077945, 
-0.02760254889188596, 0.02326759730218934, -0.006347517110018441, 1732835508247062964, 
-0.03547432222021951, -0.00815647514790537, -0.006406950052530225, 1732835508346994825, 
-0.033760794116755255, -0.020527484082897656, -0.006455844348590715, 1732835508438024465, 
-0.03199866435241372, 0.011585526226019308, -0.006748918712625899, 1732835508557646235, 
-0.030481030893590222, 0.010932544077216777, -0.006416032624183946, 1732835508647386094, 
-0.02882784591408638, 0.010569394794424461, -0.0060871694106726885, 1732835508748095080, 
-0.027554178620128877, 0.009756174244871149, -0.005790870361853699, 1732835508837925864, 
-0.027462743363679154, 0.004550341834690756, -0.005589651193192961, 1732835508957924081, 
-0.025419324694356593, 0.007116179752574281, -0.005362416445210975, 1732835509046932819, 
-0.032625766398664546, -0.01721007678328464, -0.0057005222971133526, 1732835509146831802, 
-0.02958574328176522, -0.013888061958028755, -0.005842055624985757, 1732835509236782020, 
-0.02956921588458128, 0.01018850171361089, -0.006118715037667403, 1732835509358106798, 
