e, e_dot, e_int, stamp, 
0.6556957167585002, 4.621488377172985e-12, 0.13113914335155308, 1732834268179174487, 
0.6556957167598645, 7.274181257344026e-12, 0.13113914335173646, 1732834268279455757, 
0.6556957167613424, 9.473903143468002e-12, 0.13113914335198049, 1732834268389195771, 
0.6556957167627067, 9.473903143468002e-12, 0.1311391433522609, 1732834268490428957, 
0.6556957167640709, 9.094947017729282e-12, 0.13113914335254134, 1732834268578655026, 
0.655509381748306, -0.0006211167146689492, 0.1311267210183389, 1732834268678679072, 
0.6392586239618226, -0.054790309340827514, 0.1300309148316133, 1732834268789396192, 
0.6243861997419007, -0.10374394002135097, 0.12794361369680196, 1732834268890407959, 
0.623459467382435, -0.052663855264625616, 0.12580695273907722, 1732834268929501340, 
0.6061046331217673, -0.06093855540044454, 0.12359668668307353, 1732834269079462927, 
0.576128012609906, -0.15777151590842994, 0.12037947420760721, 1732834269188555155, 
0.563588948278342, -0.14171894947808425, 0.11638810626733437, 1732834269239204593, 
0.528041436946266, -0.16028858554546646, 0.1111838931889676, 1732834269379187095, 
0.4992135573386324, -0.21458463646569892, 0.10605626283754936, 1732834269479084744, 
0.4874656314307781, -0.1352526850516265, 0.10098137504771178, 1732834269531026307, 
0.4370212494479024, -0.20730769296909998, 0.09491336254782086, 1732834269685209176, 
0.42368503537512603, -0.21260198685217355, 0.08987812775025376, 1732834269729162775, 
0.39430398879031836, -0.1423908688586134, 0.08366735157422311, 1732834269878619261, 
0.324804034912183, -0.3296033348764767, 0.07618620393850849, 1732834269924851530, 
0.2471600153798924, -0.4904799113680865, 0.06441786927215959, 1732834270085117362, 
0.24016034450681467, -0.28214563468456116, 0.05414162631992601, 1732834270129274579, 
0.2200407992458705, -0.09039738711340635, 0.047157410608838504, 1732834270229342405, 
0.17904225924270878, -0.20372695088035297, 0.042616226866359595, 1732834270388556566, 
0.1670060766939122, -0.17678240850652763, 0.037739275678832764, 1732834270438643565, 
0.13430495663625086, -0.14912434202152638, 0.03202355283819146, 1732834270578711414, 
0.13345739970636106, -0.11182892329183718, 0.028984562202434942, 1732834270629338194, 
0.13795328003262164, 0.012161077987902594, 0.027047709091682238, 1732834270678912418, 
0.15670667589576404, 0.07749758729800993, 0.02854115704231645, 1732834270838752801, 
0.14704483956339887, 0.03030519843592409, 0.02944698636611897, 1732834270928673156, 
0.08943110348590211, -0.2242519080328731, 0.026212174596337668, 1732834271078792018, 
0.08967567336395377, -0.19123055399815034, 0.021743441094216984, 1732834271125001543, 
0.088349314944413, -0.003605961804963679, 0.017830406119617927, 1732834271239390968, 
0.08645939892392462, -0.010720914800097145, 0.01763229248215276, 1732834271379366104, 
0.07898773290262895, -0.03120527347261352, 0.016919763118064438, 1732834271478981839, 
0.06807228421539624, -0.061290382361761285, 0.01556796106946332, 1732834271589439949, 
0.054813200110850224, -0.08058177597259575, 0.013458214481925027, 1732834271686502732, 
0.05011748917531389, -0.0598493168002745, 0.01153353156677069, 1732834271729464597, 
0.007892591866763499, -0.15640202748028909, 0.007521552076861841, 1732834271879653646, 
0.009772012166789357, -0.13448492336174844, 0.0045188062139244495, 1732834271926289191, 
0.005810892723396521, -0.006938997144556591, 0.0015650331171299585, 1732834272040324927, 
-0.0011355553765555193, -0.03635855847781625, 0.0009631566342420239, 1732834272179428551, 
-0.0029146332806435638, -0.029085086680133616, 0.00011738027107982922, 1732834272279790643, 
-0.0048065173036662134, -0.012236539757035647, -0.0005904470640576865, 1732834272389374214, 
-0.03703901805859333, -0.11374794925983256, -0.002984011242860207, 1732834272486255677, 
-0.038289605195576115, -0.111610292973033, -0.005342342703855711, 1732834272579229465, 
-0.03435263219461293, 0.008954619546601336, -0.007312083696585492, 1732834272628634122, 
-0.031523898937038, 0.02255235419512706, -0.006944409088481803, 1732834272725564671, 
-0.031045461690866083, 0.01102390167915616, -0.006461466188167801, 1732834272886330754, 
-0.032188133443474376, -0.0022141150214545955, -0.00631716627142523, 1732834272928595343, 
-0.03070810677324376, 0.0011245163920744112, -0.006262780127172281, 1732834273046169374, 
-0.0210459579722585, 0.03714058490405292, -0.005596146545931775, 1732834273139184049, 
-0.03038883940946746, 0.001064224545920996, -0.005476193610331315, 1732834273240321799, 
-0.027990728700950873, -0.023149235762307912, -0.005295035072178456, 1732834273379445629, 
-0.027802838268728425, 0.008620003802463453, -0.0057454937586097835, 1732834273488558862, 
-0.02785703414263274, 0.00044564852772710495, -0.005576706740820803, 1732834273538595574, 
-0.02635462897664831, 0.0048273643069337195, -0.005467633425867298, 1732834273686405069, 
-0.026176686386790826, 0.005601159186139719, -0.005359223300404792, 1732834273729406288, 
-0.025632399385950744, 0.0024074319689918835, -0.005210914316625992, 1732834273828653631, 
-0.03730610188372796, -0.03709805165645711, -0.005941012510431302, 1732834273938712491, 
-0.03579231731030552, -0.03386639308118259, -0.006582054571998949, 1732834274037404380, 
-0.034044768561016014, 0.010871111075706485, -0.007142879183669966, 1732834274178877376, 
-0.03426585075104338, 0.005088221864207136, -0.006940195774824328, 1732834274229483501, 
-0.03405712744238576, -4.119627123248352e-05, -0.006824516450296344, 1732834274327378446, 
-0.032717039255268476, 0.005162704985916348, -0.006736001163246508, 1732834274437321085, 
-0.03374161502317585, 0.0010517080640330227, -0.006701052114722006, 1732834274579433391, 
-0.03344297076568248, -0.002419771701380006, -0.00666010833627512, 1732834274676941322, 
-0.03098330379041847, 0.00919437077585794, -0.006544525971951786, 1732834274789441959, 
-0.02959395814376309, 0.012830042073064632, -0.006268015513324269, 1732834274887257543, 
