x, y, t, 
1.0658141036401503e-14, -6.750155989720952e-14, 1731624913371112713, 
1.0658141036401503e-14, -6.750155989720952e-14, 1731624913420725095, 
1.0658141036401503e-14, -6.750155989720952e-14, 1731624913462730957, 
1.0658141036401503e-14, -6.750155989720952e-14, 1731624913511701240, 
1.0658141036401503e-14, -6.750155989720952e-14, 1731624913562693113, 
1.0658141036401503e-14, -6.750155989720952e-14, 1731624913611711609, 
7.59176182327792e-05, 0.000184343516593799, 1731624913727106056, 
0.0011800095671787858, 0.00040669841109775007, 1731624913816724293, 
0.0038395351730287075, 0.00044090754818171263, 1731624913917707597, 
0.0055041443556547165, 0.0006909242947585881, 1731624913966685835, 
0.013353523798286915, 0.002806943841278553, 1731624914126762233, 
0.01798507384955883, 0.00472263665869832, 1731624914216713446, 
0.023812884464859962, 0.008230185136198997, 1731624914316708245, 
0.026845233514904976, 0.010375762358307838, 1731624914366704737, 
0.03760741278529167, 0.020247207954525948, 1731624914527057937, 
0.04463670402765274, 0.02876437082886696, 1731624914616715902, 
0.053084492683410645, 0.04088916629552841, 1731624914716710556, 
0.05609354376792908, 0.04617616534233093, 1731624914766763125, 
0.0626084953546524, 0.06358064711093903, 1731624914926877735, 
0.06679607927799225, 0.07991226017475128, 1731624915017731859, 
0.06825821846723557, 0.0891374945640564, 1731624915066950634, 
0.06934812664985657, 0.1047263890504837, 1731624915166843154, 
0.06716126948595047, 0.1295400857925415, 1731624915327277718, 
0.06374503672122955, 0.1446162760257721, 1731624915417156593, 
0.05795310437679291, 0.16169840097427368, 1731624915516870340, 
0.054460491985082626, 0.17031370103359222, 1731624915567066683, 
0.03986448794603348, 0.1964709311723709, 1731624915726922798, 
0.02900073118507862, 0.21175618469715118, 1731624915816696664, 
0.014801828190684319, 0.22799386084079742, 1731624915917016683, 
0.007188178598880768, 0.23541226983070374, 1731624915966974475, 
-0.01858590357005596, 0.255946546792984, 1731624916108803097, 
-0.04114115610718727, 0.2696165144443512, 1731624916217856898, 
-0.06348916888237, 0.2800604999065399, 1731624916315717812, 
-0.07539419084787369, 0.28474321961402893, 1731624916364714140, 
-0.11280272901058197, 0.2951296865940094, 1731624916507864552, 
-0.14291523396968842, 0.2991832196712494, 1731624916616730070, 
-0.171688511967659, 0.30018770694732666, 1731624916714719290, 
-0.1864006072282791, 0.29951605200767517, 1731624916764700714, 
-0.23053453862667084, 0.29356279969215393, 1731624916907061917, 
-0.26501360535621643, 0.2851110100746155, 1731624917016707472, 
-0.2947697341442108, 0.2745981812477112, 1731624917113757117, 
-0.31003743410110474, 0.2680898904800415, 1731624917163727442, 
-0.35187169909477234, 0.24596159160137177, 1731624917306864539, 
-0.3824809193611145, 0.22543688118457794, 1731624917416752975, 
-0.40875279903411865, 0.20432321727275848, 1731624917517724467, 
-0.4306749999523163, 0.183517724275589, 1731624917606814971, 
-0.4537646174430847, 0.1583101600408554, 1731624917707167195, 
-0.4769279658794403, 0.12865431606769562, 1731624917816761108, 
-0.4959946870803833, 0.10000386834144592, 1731624917917747590, 
-0.5038280487060547, 0.08642038702964783, 1731624917962712812, 
-0.5262317657470703, 0.04159927740693092, 1731624918106934856, 
-0.5401450991630554, 0.0063728648237884045, 1731624918216754735, 
-0.5507513284683228, -0.02730945497751236, 1731624918316754961, 
-0.5554251074790955, -0.0446704737842083, 1731624918368720749, 
-0.5646871328353882, -0.09303036332130432, 1731624918507466950, 
-0.5690134763717651, -0.13172903656959534, 1731624918616766099, 
-0.5704531073570251, -0.16733427345752716, 1731624918716737865, 
-0.5704048275947571, -0.18534919619560242, 1731624918766744579, 
-0.5673972368240356, -0.2358832210302353, 1731624918906866918, 
-0.5618489980697632, -0.27637553215026855, 1731624919020808568, 
-0.5555177330970764, -0.30875903367996216, 1731624919112709175, 
-0.5512457489967346, -0.32637691497802734, 1731624919163766982, 
-0.5340394377708435, -0.38369789719581604, 1731624919327088338, 
-0.5223551392555237, -0.414808064699173, 1731624919416757454, 
-0.5076087713241577, -0.4481825828552246, 1731624919516752107, 
-0.4992605149745941, -0.4645797312259674, 1731624919566742714, 
-0.47049450874328613, -0.5157327055931091, 1731624919727218001, 
-0.4522995054721832, -0.5436017513275146, 1731624919816773485, 
-0.43044495582580566, -0.5738863945007324, 1731624919916739056, 
