x, y, t, 
-1.6468972319216846e-07, 1.9306564524868008e-07, 1731624150810956063, 
-1.6468972319216846e-07, 1.9306564524868008e-07, 1731624150851316521, 
-1.6468972319216846e-07, 1.9306564524868008e-07, 1731624150902288152, 
-3.4378354030195624e-06, 4.030318450531922e-06, 1731624150971481087, 
0.00015745403652545065, 3.074706910410896e-05, 1731624151010587790, 
0.0006619738996960223, 0.0005422477843239903, 1731624151061354438, 
0.001637741457670927, 0.001182472682558, 1731624151111361334, 
0.0029677739366889, 0.0015003716107457876, 1731624151160582146, 
0.004499512724578381, 0.002216469496488571, 1731624151211288122, 
0.007618461735546589, 0.003802100894972682, 1731624151301566456, 
0.012296883389353752, 0.005636123940348625, 1731624151411459751, 
0.017941078171133995, 0.00839688628911972, 1731624151511228698, 
0.023743843659758568, 0.01197568979114294, 1731624151611412193, 
0.029664864763617516, 0.01687234826385975, 1731624151701566461, 
0.036657240241765976, 0.024430742487311363, 1731624151812231031, 
0.04359568655490875, 0.0339999683201313, 1731624151913023546, 
0.051042333245277405, 0.04641301557421684, 1731624152009149493, 
0.05568990856409073, 0.055530812591314316, 1731624152101241020, 
0.06037971004843712, 0.06790008395910263, 1731624152211009774, 
0.06471358984708786, 0.0859292596578598, 1731624152311021866, 
0.06688054651021957, 0.10333510488271713, 1731624152409021510, 
0.06667738407850266, 0.11644341796636581, 1731624152501064847, 
0.06425593793392181, 0.13392016291618347, 1731624152611266402, 
0.06074126437306404, 0.15125489234924316, 1731624152711026715, 
0.05567683279514313, 0.16803519427776337, 1731624152808117789, 
0.04882553592324257, 0.1845969408750534, 1731624152900592135, 
0.03795094043016434, 0.20342588424682617, 1731624153011045524, 
0.02659470960497856, 0.2193877100944519, 1731624153111057247, 
0.01331849955022335, 0.23512379825115204, 1731624153207041899, 
-0.0011776667088270187, 0.24810202419757843, 1731624153301161418, 
-0.02057844027876854, 0.2628880441188812, 1731624153410795289, 
-0.039562005549669266, 0.27462121844291687, 1731624153511122983, 
-0.0602475069463253, 0.2846043109893799, 1731624153607303417, 
-0.08400183171033859, 0.2933123707771301, 1731624153701468933, 
-0.11468207091093063, 0.3008888065814972, 1731624153811048959, 
