x, y, t, 
3.08840071738814e-07, -3.620080235577916e-07, 1731624776259735597, 
3.08840071738814e-07, -3.620080235577916e-07, 1731624776309720030, 
3.08840071738814e-07, -3.620080235577916e-07, 1731624776360781461, 
3.08840071738814e-07, -3.620080235577916e-07, 1731624776419742015, 
3.08840071738814e-07, -3.620080235577916e-07, 1731624776470750490, 
3.08840071738814e-07, -3.620080235577916e-07, 1731624776521761507, 
3.08840071738814e-07, -3.620080235577916e-07, 1731624776560692117, 
0.0008452839101664722, -6.87638676026836e-05, 1731624776609766842, 
0.003278532065451145, -0.00022919505136087537, 1731624776659881248, 
0.007236722391098738, -0.0006177363102324307, 1731624776709737676, 
0.013977359980344772, -0.0012245273683220148, 1731624776769579329, 
0.02060048282146454, -0.002035638550296426, 1731624776819867600, 
0.03866513445973396, -0.0050620706751942635, 1731624776920762670, 
0.05873248726129532, -0.010875451378524303, 1731624777010757462, 
0.09514913707971573, -0.029444878920912743, 1731624777170871273, 
0.1160157173871994, -0.04616384580731392, 1731624777270769602, 
0.13280731439590454, -0.0638674944639206, 1731624777360697837, 
0.14879898726940155, -0.08679371327161789, 1731624777460763023, 
0.16146518290042877, -0.11205636709928513, 1731624777561162337, 
0.17161686718463898, -0.14326098561286926, 1731624777670760156, 
0.17662689089775085, -0.17006203532218933, 1731624777760994852, 
0.17902353405952454, -0.20294694602489471, 1731624777860890611, 
0.17875808477401733, -0.2446342408657074, 1731624777971403466, 
0.17600145936012268, -0.28029608726501465, 1731624778069775910, 
0.17171072959899902, -0.31011974811553955, 1731624778160700354, 
0.16493338346481323, -0.3422001004219055, 1731624778259808037, 
0.1568358838558197, -0.3720109462738037, 1731624778360244422, 
0.1464480459690094, -0.4036273658275604, 1731624778470775621, 
0.137531578540802, -0.4276803731918335, 1731624778560705161, 
0.127334862947464, -0.452210009098053, 1731624778659863203, 
0.11500980705022812, -0.47668519616127014, 1731624778770839143, 
0.10288090258836746, -0.49797773361206055, 1731624778871177444, 
0.09076832979917526, -0.5163894295692444, 1731624778960708699, 
0.07687900215387344, -0.5359416604042053, 1731624779060745203, 
0.060835450887680054, -0.5562765002250671, 1731624779171089006, 
0.04602336138486862, -0.573401927947998, 1731624779269910155, 
0.03168473392724991, -0.5885679721832275, 1731624779361711986, 
0.015516340732574463, -0.6043181419372559, 1731624779462836136, 
-0.000732822110876441, -0.6187310218811035, 1731624779559061197, 
-0.01841905526816845, -0.6340562105178833, 1731624779668782972, 
-0.03363953158259392, -0.646291971206665, 1731624779760715217, 
-0.05001185089349747, -0.6586315631866455, 1731624779860749825, 
-0.06738703697919846, -0.671160101890564, 1731624779971496630, 
-0.08251634240150452, -0.6814656853675842, 1731624780066786109, 
-0.0972956195473671, -0.6912983059883118, 1731624780160716737, 
-0.11283114552497864, -0.70120769739151, 1731624780260842775, 
-0.1292964220046997, -0.7114427089691162, 1731624780371553033, 
-0.14453831315040588, -0.7204330563545227, 1731624780472794578, 
-0.1578911542892456, -0.7281292676925659, 1731624780560721937, 
-0.17289605736732483, -0.7362575531005859, 1731624780660776681, 
-0.18909598886966705, -0.7447819709777832, 1731624780771256419, 
-0.2040456384420395, -0.7524213194847107, 1731624780870948475, 
-0.21724186837673187, -0.7589229941368103, 1731624780960893225, 
-0.231282576918602, -0.7655915021896362, 1731624781061204036, 
-0.24492818117141724, -0.7717848420143127, 1731624781157357918, 
-0.26110923290252686, -0.7788752317428589, 1731624781270075171, 
-0.2738279700279236, -0.7843839526176453, 1731624781360937934, 
-0.28684017062187195, -0.7897517085075378, 1731624781460768937, 
-0.2998943328857422, -0.7950503826141357, 1731624781561890182, 
-0.3143748641014099, -0.8007723093032837, 1731624781670948811, 
-0.326029896736145, -0.8052284717559814, 1731624781761055760, 
-0.3386382758617401, -0.8100142478942871, 1731624781861432624, 
-0.3523651361465454, -0.8149771094322205, 1731624781970898543, 
-0.3642726540565491, -0.8193041086196899, 1731624782070771803, 
-0.3750273883342743, -0.8231961131095886, 1731624782160775381, 
-0.38719576597213745, -0.8276098370552063, 1731624782260856038, 
-0.39891523122787476, -0.8317756652832031, 1731624782361544946, 
-0.4108944535255432, -0.8358273506164551, 1731624782471806971, 
-0.4209546744823456, -0.8393609523773193, 1731624782561732103, 
-0.43204963207244873, -0.8430962562561035, 1731624782660774631, 
-0.44332078099250793, -0.8467734456062317, 1731624782771438916, 
-0.45381104946136475, -0.8503140211105347, 1731624782870802806, 
-0.46334099769592285, -0.8534269332885742, 1731624782960731243, 
-0.47336408495903015, -0.8565266728401184, 1731624783061081140, 
-0.48376286029815674, -0.859916627407074, 1731624783170794002, 
-0.4940791428089142, -0.8630355596542358, 1731624783270807556, 
-0.5026390552520752, -0.8658267259597778, 1731624783360747391, 
-0.511913537979126, -0.8686894774436951, 1731624783460867272, 
-0.5222427248954773, -0.8718246817588806, 1731624783571535613, 
-0.5312789678573608, -0.8745690584182739, 1731624783670812862, 
-0.5397463440895081, -0.8770718574523926, 1731624783760737834, 
-0.5482416152954102, -0.8797787427902222, 1731624783860785927, 
-0.5571337342262268, -0.8822848796844482, 1731624783961297237, 
-0.5663613080978394, -0.8850784301757812, 1731624784070814248, 
-0.5741060376167297, -0.8873938918113708, 1731624784160737119, 
-0.5822756290435791, -0.8897925019264221, 1731624784260799174, 
-0.5901219248771667, -0.8921264410018921, 1731624784372318790, 
