e, e_dot, e_int, stamp, 
0.7707063860647637, 4.4358138502063e-12, 0.07224790717244586, 1729803520120698770, 
0.768973625354324, -0.011532940527601827, 0.07773626112704034, 1729803520170780265, 
0.7623859402888709, -0.058295756977184955, 0.07446388220195525, 1729803520217738408, 
0.7486687909283241, -0.08769980970365282, 0.12057650812256687, 1729803520329431592, 
0.7272382820883495, -0.11275652727130636, 0.1575443487837712, 1729803520428896216, 
0.7088739914638282, -0.1398403657966891, 0.13797481366343317, 1729803520518889679, 
0.6878154346515027, -0.13765503685852545, 0.13508115019594769, 1729803520619695295, 
0.6157942328852176, -0.33727777217496735, 0.12779507433152262, 1729803520709393200, 
0.5895219369189417, -0.3404976399661586, 0.13245801178443137, 1729803520829598312, 
0.573534439566052, -0.1319885998460594, 0.12471193898717287, 1729803520919717673, 
0.5700895850078989, -0.07073258856131619, 0.10926097557241321, 1729803521018724291, 
0.5703843384473211, -0.010507955927225865, 0.10806054167499142, 1729803521108854221, 
0.5588746146602007, -0.030766535054840383, 0.11927298076946459, 1729803521229286712, 
0.5471982065841469, -0.07522556286250648, 0.11745108482592607, 1729803521319031530, 
0.4255719639930775, -0.44802296398424796, 0.0969706292636482, 1729803521419221017, 
0.39701620861640097, -0.4911372016814369, 0.096000273430367, 1729803521529283891, 
0.37674860590282877, -0.15410425997927926, 0.08394180460449611, 1729803521629191576, 
0.3863060007604211, -0.03211717836076957, 0.07333138978276543, 1729803521718922460, 
0.4082779543196011, 0.1088948863020585, 0.07399892438854275, 1729803521818716550, 
0.4086122509512208, 0.0746072468683562, 0.07676838942296031, 1729803521910333609, 
0.27572552772283454, -0.3727974410620298, 0.07650133997978156, 1729803522028766628, 
0.24755840762546222, -0.4783548205411476, 0.06474104038377376, 1729803522118750731, 
0.22223949727908143, -0.18870633166187178, 0.047221704221475876, 1729803522218787634, 
0.23093748561122796, -0.05238842439086314, 0.04454496745512718, 1729803522309457386, 
0.25949517987875337, 0.1117587790979346, 0.049883565476728904, 1729803522428772960, 
0.26688456135831584, 0.10571123089851675, 0.054100138524538294, 1729803522523767070, 
0.14117588272717063, -0.41085270027029736, 0.04248537675463653, 1729803522619702563, 
