x, y, theta, stamp, 
-2.0934155742224902e-08, 2.419611888626605e-08, -2.383923436922784e-07, 1729803726520088346, 
-2.0934155742224902e-08, 2.419611888626605e-08, -2.383923436922784e-07, 1729803726579929207, 
-2.0934155742224902e-08, 2.419611888626605e-08, -2.383923436922784e-07, 1729803726679874012, 
-2.0934155742224902e-08, 2.419611888626605e-08, -2.383923436922784e-07, 1729803726720861481, 
-2.0934155742224902e-08, 2.419611888626605e-08, -2.383923436922784e-07, 1729803726769894752, 
0.005267004482448101, -0.0002858952502720058, -0.04173702941109519, 1729803726919840999, 
0.013733409345149994, -0.0013801183085888624, -0.14491664241717875, 1729803727029861687, 
0.02348772995173931, -0.0032851470168679953, -0.27061896401207436, 1729803727119975370, 
0.038396745920181274, -0.009235137142241001, -0.43437880261825823, 1729803727215962137, 
0.0563022643327713, -0.01960952952504158, -0.6316526380673956, 1729803727320769022, 
0.07484596222639084, -0.03514567017555237, -0.8000147543901334, 1729803727429914466, 
0.08754638582468033, -0.0486018992960453, -0.9039205605109912, 1729803727520351464, 
0.10034883767366409, -0.06551150232553482, -1.0044420791301814, 1729803727620063824, 
0.11275229603052139, -0.08599694073200226, -1.1210005294880956, 1729803727729735128, 
0.1215255931019783, -0.10590842366218567, -1.2314885323148355, 1729803727830039851, 
0.12777934968471527, -0.12385044991970062, -1.3286080204343673, 1729803727919862473, 
0.13226374983787537, -0.14471058547496796, -1.4236991504104815, 1729803728019875358, 
0.13477696478366852, -0.16576430201530457, -1.5080174916664826, 1729803728120922866, 
0.13540220260620117, -0.18954266607761383, -1.59255914743888, 1729803728229907508, 
0.13539649546146393, -0.1991937905550003, -1.625745279811561, 1729803728275893640, 
0.13239526748657227, -0.2297319620847702, -1.7255055656757414, 1729803728420054417, 
0.1286689192056656, -0.250050812959671, -1.7932306829454223, 1729803728516619442, 
0.12240374088287354, -0.2735614776611328, -1.8674447998420758, 1729803728630897250, 
0.11637945473194122, -0.2919555604457855, -1.9165626893895347, 1729803728719868336, 
0.10860740393400192, -0.3119886517524719, -1.9700700374896216, 1729803728819863050, 
0.0989396870136261, -0.3333514630794525, -2.02417586998291, 1729803728930048212, 
0.08987307548522949, -0.3515792191028595, -2.067562537657686, 1729803729027153078, 
0.08006221801042557, -0.36893343925476074, -2.10575670705302, 1729803729119888273, 
0.0688851997256279, -0.38733431696891785, -2.1496591286014755, 1729803729219886383, 
0.05739591643214226, -0.40455204248428345, -2.1874561081914714, 1729803729318027627, 
0.04371082782745361, -0.4235469698905945, -2.2265183626853298, 1729803729427908515, 
0.03145267069339752, -0.4391551613807678, -2.2552657214281058, 1729803729519899967, 
0.017622800543904305, -0.4558619260787964, -2.2891493066707533, 1729803729620876535, 
0.0038433989975601435, -0.4715089797973633, -2.3188134248418724, 1729803729719045579, 
-0.011385257355868816, -0.4877259135246277, -2.3494283992053036, 1729803729828976648, 
-0.024151286110281944, -0.5005818009376526, -2.370725877297448, 1729803729921009902, 
-0.03860908001661301, -0.514224648475647, -2.392426695573714, 1729803730019877533, 
-0.05277730152010918, -0.5273520350456238, -2.4155055979685134, 1729803730120283494, 
-0.06886610388755798, -0.5411630272865295, -2.435281268407787, 1729803730229907067, 
-0.08100251853466034, -0.551529049873352, -2.45677656016569, 1729803730319882258, 
-0.09579751640558243, -0.5634406208992004, -2.475571378017174, 1729803730420682441, 
-0.10996107012033463, -0.5741414427757263, -2.492988371674639, 1729803730520395117, 
-0.12570691108703613, -0.5859910249710083, -2.5113590131145695, 1729803730629989037, 
-0.13796880841255188, -0.5947127342224121, -2.524471972838937, 1729803730720010677, 
-0.15222668647766113, -0.6046646237373352, -2.540311810459634, 1729803730820158582, 
-0.16770346462726593, -0.6149975061416626, -2.556661073194415, 1729803730930382831, 
-0.18137456476688385, -0.6238871812820435, -2.5701519850481924, 1729803731029984741, 
-0.19356806576251984, -0.6315584182739258, -2.578475917481484, 1729803731119916620, 
-0.20712397992610931, -0.6399165987968445, -2.5892736910541467, 1729803731219917422, 
-0.22015361487865448, -0.6477362513542175, -2.598991355653757, 1729803731320069137, 
-0.2345241755247116, -0.6561397314071655, -2.609287228790201, 1729803731429932901, 
-0.24627283215522766, -0.6627785563468933, -2.6163840254078616, 1729803731521069336, 
-0.25941407680511475, -0.6701427102088928, -2.6257176789204215, 1729803731619927169, 
-0.2734118103981018, -0.6778861284255981, -2.6336789074347324, 1729803731729750116, 
-0.28477978706359863, -0.6841108202934265, -2.6402411427015355, 1729803731825569550, 
-0.2971268594264984, -0.690700352191925, -2.6474270758900498, 1729803731924617778, 
-0.3082466423511505, -0.6965092420578003, -2.6523523156014184, 1729803732015978272, 
-0.32074081897735596, -0.7031044960021973, -2.6592450031887434, 1729803732121025099, 
-0.3338204324245453, -0.7097839117050171, -2.664132332815594, 1729803732230700463, 
-0.34411323070526123, -0.7149341702461243, -2.668118712497286, 1729803732320013795, 
-0.3556528091430664, -0.720851480960846, -2.6756000473431643, 1729803732419930509, 
-0.36684274673461914, -0.7262358665466309, -2.6790802060922085, 1729803732520912272, 
-0.37860050797462463, -0.732064425945282, -2.684560768445071, 1729803732629932053, 
-0.38872137665748596, -0.7369839549064636, -2.686080467320101, 1729803732719918566, 
-0.399664968252182, -0.7421577572822571, -2.6893139214682495, 1729803732819915876, 
-0.4094153344631195, -0.7468865513801575, -2.6918950003065203, 1729803732916671643, 
-0.4210902452468872, -0.7524484395980835, -2.6973280923425382, 1729803733030028229, 
-0.4303297996520996, -0.7566457986831665, -2.6978242427473793, 1729803733119941416, 
-0.44037485122680664, -0.7613901495933533, -2.702004177484273, 1729803733219943282, 
-0.44998374581336975, -0.7657759785652161, -2.706617845069714, 1729803733317176664, 
-0.46052607893943787, -0.7707027792930603, -2.7076694875348664, 1729803733430961436, 
-0.46928316354751587, -0.7745219469070435, -2.707688570702125, 1729803733519974471, 
-0.47397416830062866, -0.776557981967926, -2.7090084420627156, 1729803733569939786, 
-0.48774635791778564, -0.7828369140625, -2.714351178301542, 1729803733718066479, 
-0.4970003366470337, -0.7869790196418762, -2.7160558959159786, 1729803733828202967, 
-0.5054274201393127, -0.7905935645103455, -2.7165320155264583, 1729803733919949790, 
-0.5148167610168457, -0.7946605682373047, -2.7192032658704295, 1729803734020930532, 
-0.5247642993927002, -0.7990106344223022, -2.7233586547431, 1729803734129871169, 
-0.5324345827102661, -0.8023817539215088, -2.721858724413473, 1729803734228969789, 
-0.5399297475814819, -0.8056475520133972, -2.7233590962527003, 1729803734320939714, 
-0.5482767820358276, -0.80937260389328, -2.725820305087827, 1729803734422957636, 
-0.555849552154541, -0.8127894401550293, -2.725687261041342, 1729803734519305155, 
-0.5647435784339905, -0.8166936039924622, -2.726645710806635, 1729803734630042431, 
-0.5717394351959229, -0.8195540308952332, -2.7278437589706073, 1729803734721080211, 
-0.5792815089225769, -0.8229851722717285, -2.7293129108298486, 1729803734819943672, 
-0.5867622494697571, -0.8264610171318054, -2.730771773202725, 1729803734921592242, 
-0.5948241949081421, -0.8298479318618774, -2.7298094957869883, 1729803735030090836, 
-0.6012390851974487, -0.8324153423309326, -2.7301311278790843, 1729803735120949000, 
-0.6084896922111511, -0.835862398147583, -2.730536195839905, 1729803735219959176, 
-0.6152356863021851, -0.8388901352882385, -2.7338004209799425, 1729803735321159235, 
-0.6225547194480896, -0.8417628407478333, -2.733557185099764, 1729803735430123099, 
-0.6282623410224915, -0.844610869884491, -2.733596345315201, 1729803735521132221, 
-0.6352816820144653, -0.8473595976829529, -2.7325749637369197, 1729803735620004701, 
-0.641819953918457, -0.8499951362609863, -2.734199501867473, 1729803735721179818, 
-0.6486724019050598, -0.8530545234680176, -2.736869338575947, 1729803735829983276, 
-0.6543569564819336, -0.8553019165992737, -2.736869338575947, 1729803735921402800, 
-0.6602668166160583, -0.8578183054924011, -2.736869338575947, 1729803736019966876, 
-0.6669949889183044, -0.8609365224838257, -2.736869338575947, 1729803736130227378, 
-0.6728346347808838, -0.8631651997566223, -2.7365632187228472, 1729803736230169815, 
-0.6781066060066223, -0.8656349182128906, -2.737861596999325, 1729803736322262219, 
-0.6838605999946594, -0.8679116368293762, -2.739806193168338, 1729803736421324235, 
-0.6894401907920837, -0.8705711364746094, -2.7397089431713106, 1729803736520934833, 
-0.6951589584350586, -0.8729852437973022, -2.7397089431713106, 1729803736630108014, 
-0.7000591158866882, -0.8750033378601074, -2.7392211191596902, 1729803736721005222, 
-0.7057250738143921, -0.8775085806846619, -2.7400374586319516, 1729803736821004034, 
-0.7115968465805054, -0.879740834236145, -2.7400374586319516, 1729803736930349640, 
-0.7163362503051758, -0.8820754885673523, -2.7413797510672104, 1729803737031048516, 
-0.7209495902061462, -0.8839074969291687, -2.7413797510672104, 1729803737121007989, 
-0.7259090542793274, -0.8861268758773804, -2.740252973362965, 1729803737219996467, 
-0.7308779954910278, -0.8880754709243774, -2.740252973362965, 1729803737321831430, 
-0.7361218333244324, -0.8903774619102478, -2.740252973362965, 1729803737431038431, 
-0.7406226396560669, -0.8920496702194214, -2.740252973362965, 1729803737521029473, 
-0.7453465461730957, -0.8940900564193726, -2.7445545288465536, 1729803737620985965, 
-0.7493322491645813, -0.895935595035553, -2.744365226669261, 1729803737716875099, 
-0.7540570497512817, -0.897850751876831, -2.7433724213944575, 1729803737831102858, 
-0.7578738331794739, -0.8996766209602356, -2.7429130135746185, 1729803737921022302, 
-0.7623850703239441, -0.9013762474060059, -2.742559913093258, 1729803738021005115, 
-0.7671362161636353, -0.9035208821296692, -2.7422771537027133, 1729803738130751280, 
-0.771418035030365, -0.9052354693412781, -2.743037232559767, 1729803738232026629, 
-0.7752737402915955, -0.9066920876502991, -2.7430436575433355, 1729803738320992843, 
-0.7789604067802429, -0.9083532691001892, -2.744808444497228, 1729803738420994324, 
-0.7829988598823547, -0.9098814725875854, -2.7464942779914874, 1729803738518271355, 
-0.7868728041648865, -0.9115889668464661, -2.747991598995104, 1729803738628054719, 
-0.7904124855995178, -0.9131498336791992, -2.747153755251923, 1729803738721016842, 
-0.7943674921989441, -0.9147129654884338, -2.7450666041162157, 1729803738821015676, 
-0.7978367209434509, -0.9162700772285461, -2.744422685814158, 1729803738918888820, 
-0.8017322421073914, -0.9178253412246704, -2.7443504241863983, 1729803739029034032, 
-0.8053091168403625, -0.9192308187484741, -2.7433662513618815, 1729803739122025356, 
-0.8085998892784119, -0.9206838607788086, -2.744285599923299, 1729803739223358048, 
-0.8122424483299255, -0.922153651714325, -2.7450173081376423, 1729803739331983661, 
-0.8158622980117798, -0.9235039949417114, -2.7449510023835098, 1729803739431676440, 
-0.8186650276184082, -0.9247979521751404, -2.748025643179131, 1729803739521061752, 
-0.8214623928070068, -0.9259342551231384, -2.746465669317503, 1729803739621011061, 
-0.8253121972084045, -0.9273947477340698, -2.746174834591062, 1729803739731572764, 
-0.8284496068954468, -0.928772509098053, -2.7475917642586247, 1729803739831323206, 
-0.8309308290481567, -0.9298890233039856, -2.7460865942088972, 1729803739921027243, 
-0.8340009450912476, -0.9311026334762573, -2.7446766164000143, 1729803740021059280, 
-0.8370349407196045, -0.932287335395813, -2.7446766164000143, 1729803740121030117, 
-0.8403719663619995, -0.9335632920265198, -2.7451174430740886, 1729803740231070419, 
-0.8427626490592957, -0.9347074031829834, -2.7451174430740886, 1729803740321065528, 
-0.8455546498298645, -0.9357344508171082, -2.7451174430740886, 1729803740421074960, 
-0.8486141562461853, -0.9369386434555054, -2.746670959699382, 1729803740520920695, 
-0.8516125082969666, -0.9383260607719421, -2.748163478699105, 1729803740631073006, 
-0.8536533117294312, -0.9391414523124695, -2.7466952938523357, 1729803740721101145, 
-0.8566457033157349, -0.9403488039970398, -2.7462446528337936, 1729803740821168038, 
-0.8594784140586853, -0.941581130027771, -2.7462446528337936, 1729803740921036110, 
-0.8622158765792847, -0.9428378939628601, -2.744892122124008, 1729803741031329196, 
-0.864860475063324, -0.9437208771705627, -2.743947733660665, 1729803741127095193, 
-0.8674736618995667, -0.9447100162506104, -2.744655857323211, 1729803741216872064, 
-0.8707349896430969, -0.946197509765625, -2.745284565077841, 1729803741331088956, 
-0.8736682534217834, -0.9473281502723694, -2.744903769282976, 1729803741431060848, 
-0.8758283853530884, -0.9480870962142944, -2.744903769282976, 1729803741521231062, 
-0.8789247274398804, -0.9493507742881775, -2.744903769282976, 1729803741621039493, 
-0.8819156885147095, -0.950716495513916, -2.744883319306756, 1729803741720871982, 
-0.8842416405677795, -0.9515560865402222, -2.746143329995905, 1729803741831218415, 
-0.8868107199668884, -0.9525811076164246, -2.746143329995905, 1729803741921089463, 
-0.8898443579673767, -0.9538285732269287, -2.7468755183674443, 1729803742021047075, 
-0.8926922678947449, -0.9552129507064819, -2.7465989592178057, 1729803742122020746, 
-0.8950304985046387, -0.9560686349868774, -2.745858445609075, 1729803742231351116, 
-0.8978463411331177, -0.9571704268455505, -2.7454960339893715, 1729803742321063101, 
-0.9004707336425781, -0.9583247900009155, -2.745570406371989, 1729803742421052752, 
-0.9031587839126587, -0.9594680070877075, -2.7455835320313575, 1729803742517542033, 
-0.9061502814292908, -0.9606240391731262, -2.7457106353586402, 1729803742632091752, 
-0.9087910056114197, -0.9617360830307007, -2.7452394891086396, 1729803742721084325, 
