e, e_dot, e_int, stamp, 
-0.9690046764226715, 5.591660034998114e-07, -0.1938009497899332, 949635000000, 
-0.9690047862164667, -1.998753758799173e-07, -0.19380094592619948, 949703000000, 
-0.9739257556251728, -0.01640359734167096, -0.19412901455095408, 949805000000, 
-0.9658497361929896, 0.010516833411590154, -0.19391868520230862, 949907000000, 
-0.9300814066276563, 0.14614782999172182, -0.19132379322972123, 950009000000, 
-0.8040502958613017, 0.539331467772293, -0.17999876257879652, 950111000000, 
-0.7502059161718033, 0.5995849681861765, -0.16562250791071742, 950213000000, 
-0.6968462776600213, 0.3573467273376015, -0.15007349931287509, 950315000000, 
-0.6508164619445743, 0.33129818075743, -0.13985791038509326, 950417000000, 
-0.6266422441420398, 0.23401344505993812, -0.13162033224977568, 950519000000, 
-0.6242315138890002, 0.08861649351858032, -0.1267793479983743, 950621000000, 
-0.619628860346338, 0.02337794598567274, -0.12470017455849187, 950723000000, 
-0.6893978951265649, -0.21722127079188228, -0.12888388462412687, 950825000000, 
-0.679023190053658, -0.19798109902439984, -0.13253666303510406, 950927000000, 
-0.6623476400850284, 0.09016751680512154, -0.1353845816843501, 951029000000, 
-0.6411709996044107, 0.12617396816415752, -0.13216945531620647, 951131000000, 
-0.6081915022482365, 0.1805204594559732, -0.12744734279584505, 951233000000, 
-0.5658977071989705, 0.2509109746848008, -0.12101734727010784, 951335000000, 
-0.5410311890808749, 0.223867710557872, -0.11434135990187212, 951403000000, 
-0.5416808578280546, 0.08072283123638613, -0.10990731694052668, 951505000000, 
-0.5204121149414613, 0.0687302471313785, -0.10687494412335939, 951607000000, 
-0.5048509350810544, 0.12276640915666752, -0.10446292719003801, 951709000000, 
-0.4965516076357517, 0.07953502435236552, -0.10145431051055116, 951811000000, 
-0.4824125444926488, 0.07479463529468526, -0.09892100581396365, 951913000000, 
-0.4668254989788758, 0.09908702885625287, -0.09638597674048509, 952015000000, 
-0.45455918875734613, 0.09284451911767559, -0.09358648214859139, 952117000000, 
-0.420669478276672, 0.15385340234067937, -0.08947027773419293, 952219000000, 
-0.40316785444208647, 0.1713044477175322, -0.08522643476507363, 952321000000, 
-0.38781495150709966, 0.10951508923190782, -0.08077681894839055, 952423000000, 
-0.3739228438057558, 0.0974833687877689, -0.07766037665032946, 952525000000, 
-0.3652452023748387, 0.0752324971075365, -0.07513219984584628, 952627000000, 
-0.36088483756485346, 0.043460020803007815, -0.0733368589163632, 952729000000, 
-0.3570195720440348, 0.027418767769346413, -0.07220997413224846, 952831000000, 
-0.35410827481920815, 0.022588542485484364, -0.07146751229520643, 952933000000, 
-0.3520238228897392, 0.016652497180985232, -0.07087677798353215, 953035000000, 
-0.3510906749493439, 0.010058666232880912, -0.07048151817721941, 953103000000, 
-0.2672863357960291, 0.28245829031236697, -0.06469338890900748, 953205000000, 
-0.2539971202027822, 0.3236451824885389, -0.058158275396543675, 953307000000, 
-0.24090856089970258, 0.08792591632108844, -0.050812801126567594, 953409000000, 
-0.22765798916667146, 0.08779710345370247, -0.04817091135127708, 953511000000, 
-0.22228040792282644, 0.06209384325625381, -0.046056463865946695, 953613000000, 
-0.15558381487187645, 0.2402472476493167, -0.04036814746409162, 953715000000, 
-0.15305309904864584, 0.2307576962472687, -0.035394488122889915, 953817000000, 
-0.14984414640097898, 0.019132228236324877, -0.03056540402143342, 953919000000, 
-0.14497809731979028, 0.026916672429518524, -0.029858356184627673, 954021000000, 
-0.14974349590623137, 0.00033550164915870556, -0.029637715975133375, 954123000000, 
-0.08747616667435332, 0.19167310215145653, -0.025479850660025, 954225000000, 
-0.08571406753895294, 0.2134314278909281, -0.02152891534130251, 954327000000, 
-0.0810561213371137, 0.021400151124132034, -0.016949757036694664, 954429000000, 
-0.07418670184487941, 0.03842455231357844, -0.016063792714729738, 954531000000, 
-0.08372414991414767, -0.008893428590113217, -0.01593113153974272, 954633000000, 
-0.03040830364929592, 0.1459279939852783, -0.012554610360554866, 954735000000, 
-0.0339164752476917, 0.1660255822215199, -0.009869928587409019, 954803000000, 
-0.029677672041949155, 0.0024354386911558854, -0.006266830062595785, 954905000000, 
-0.02647137332720284, 0.024817006401629538, -0.006004368041122913, 955007000000, 
-0.026678437471369998, 0.00999744856859719, -0.005521832189368133, 955109000000, 
0.007191358214483579, 0.11220910513895473, -0.003063896838939284, 955211000000, 
0.004125565156686717, 0.10268000876018905, -0.0010241009400133135, 955313000000, 
0.004622303805521755, -0.008563514696539412, 0.0010626151451128033, 955415000000, 
0.006876114776895426, 0.00916849873402903, 0.0010415989159402598, 955517000000, 
0.0031707318430242992, -0.004838573208324852, 0.0009779433616960986, 955619000000, 
0.02990526221980283, 0.07676382480969135, 0.0026634739226481705, 955721000000, 
0.029441362007174066, 0.08756876721383255, 0.00416782373800008, 955823000000, 
0.030175017896280076, 0.0008991855882574858, 0.005968109474883798, 955925000000, 
0.03218442560542445, 0.009143545327501279, 0.006120053700591906, 956027000000, 
0.02982361873750472, -0.0011713305292511873, 0.00614553748261395, 956129000000, 
0.04514886872705559, 0.04321481040543714, 0.007143794204665651, 956231000000, 
0.043489514358192816, 0.045552985402293654, 0.007897466788183542, 956333000000, 
0.042997195282066025, -0.007172244816631886, 0.008775705224487628, 956401000000, 
0.0430533279860521, -0.001453954573802374, 0.00863600250842073, 956503000000, 
0.043199321959588755, 0.0006737555917424309, 0.008616656348513793, 956605000000, 
0.04946743672657705, 0.021380362468416497, 0.00904800577814786, 956707000000, 
0.046306821197106496, 0.010358330791725804, 0.009264905325551487, 956809000000, 
